Wed 01/03/2018 at 15:09:55.97 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Wed 01/03/2018 at 15:09:55.97 	 IT101307 	 devind 						
Wed 01/03/2018 at 15:36:11.95 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Wed 01/03/2018 at 15:36:11.95 	 IT101307 	 devind 						
Thu 01/04/2018 at  7:47:23.13 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 01/04/2018 at  7:47:23.13 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 01/04/2018 at  7:47:46.11 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Thu 01/04/2018 at 21:35:04.82 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Thu 01/04/2018 at 21:35:04.82 	 IT101307 	 devind 						
Fri 01/05/2018 at  7:46:45.24 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 01/05/2018 at  7:47:08.64 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 01/05/2018 at 10:43:19.83 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Fri 01/05/2018 at 10:43:41.61 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Sun 01/07/2018 at 20:51:48.59 	 IT101307 	  10.0.70.5(Preferred)  	 devind Started Update 					
Sun 01/07/2018 at 20:51:48.59 	 IT101307 	 devind 						
Mon 01/08/2018 at  7:43:02.16 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Mon 01/08/2018 at  7:43:40.37 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 01/09/2018 at  7:47:29.78 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/09/2018 at  7:47:50.13 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Wed 01/10/2018 at  7:58:33.08 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 01/10/2018 at  7:58:33.08 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Wed 01/10/2018 at  7:58:41.24 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Wed 01/10/2018 at 10:41:29.04 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 01/10/2018 at 10:41:35.77 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Wed 01/10/2018 at 10:48:52.46 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 01/10/2018 at 10:48:58.68 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Thu 01/11/2018 at  7:40:22.42 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 01/11/2018 at  7:40:47.11 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Thu 01/11/2018 at  8:58:56.81 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 01/11/2018 at  8:59:10.04 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 01/12/2018 at  7:50:19.47 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Fri 01/12/2018 at  7:50:42.59 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 01/12/2018 at  7:55:45.20 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 01/12/2018 at  7:56:02.48 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Sat 01/13/2018 at  7:48:26.19 	 IT101307 	  10.0.70.4(Preferred)  	 devind Started Update 					
Sat 01/13/2018 at  7:48:26.19 	 IT101307 	 devind 						
Sat 01/13/2018 at 14:17:17.52 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 01/13/2018 at 14:17:17.52 	 IT101307 	 devind 						
Sat 01/13/2018 at 15:31:21.45 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 01/13/2018 at 15:31:21.45 	 IT101307 	 devind 						
Sat 01/13/2018 at 17:22:05.07 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 01/13/2018 at 17:22:05.07 	 IT101307 	 devind 						
Mon 01/15/2018 at  7:40:12.41 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 01/15/2018 at  7:40:19.08 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Mon 01/15/2018 at  7:51:30.11 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 01/15/2018 at  7:51:30.11 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Mon 01/15/2018 at  7:51:49.28 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Mon 01/15/2018 at  8:48:24.03 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 01/15/2018 at  8:48:24.03 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Mon 01/15/2018 at  8:48:40.76 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Tue 01/16/2018 at  7:54:34.96 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at  7:54:34.96 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at  7:54:42.80 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 01/16/2018 at 12:11:16.87 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at 12:11:16.87 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at 12:11:22.68 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 01/16/2018 at 15:24:42.37 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at 15:25:12.89 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 01/16/2018 at 15:30:15.32 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at 15:30:21.88 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Tue 01/16/2018 at 15:51:28.35 	 IT101307 	 jber03 						
Tue 01/16/2018 at 16:12:20.75 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at 16:12:20.75 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 01/16/2018 at 16:12:28.62 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Wed 01/17/2018 at  7:48:45.51 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 01/17/2018 at  7:48:45.51 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Wed 01/17/2018 at  7:48:53.51 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Wed 01/17/2018 at 20:09:56.49 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Wed 01/17/2018 at 20:09:56.49 	 IT101307 	 devind 						
Thu 01/18/2018 at  7:38:42.76 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 01/18/2018 at  7:38:57.03 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Fri 01/19/2018 at  7:51:10.88 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 01/19/2018 at  7:51:18.80 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Fri 01/19/2018 at 12:23:20.52 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 01/19/2018 at 12:23:20.52 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Fri 01/19/2018 at 12:23:30.56 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Sat 01/20/2018 at  8:56:10.41 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 01/20/2018 at  8:56:10.41 	 IT101307 	 devind 						
Sun 01/21/2018 at  7:38:31.22 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 01/21/2018 at  7:38:31.22 	 IT101307 	 devind 						
Sun 01/21/2018 at 10:10:36.16 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 01/21/2018 at 10:10:36.16 	 IT101307 	 devind 						
Mon 01/22/2018 at  6:54:44.30 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 01/22/2018 at  6:54:52.42 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Mon 01/22/2018 at 21:25:20.84 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Mon 01/22/2018 at 21:25:20.84 	 IT101307 	 devind 						
